hashtag,comments_post_relation,comments_number,posts_number
#drawingart,71.0,71,1
#digitalmarketing,71.0,71,1
#mardel,71.0,71,1
#personalizados,0.0,0,1
#express,0.0,0,1
#ZELDA,49.0,49,1
#Link,49.0,49,1
#GoodSmileCompany,49.0,49,1
#TheLegendOfZelda,49.0,49,1
#SkywardSword,49.0,49,1
#WindWaker,49.0,49,1
#Ganondorf,49.0,49,1
#PrincessZelda,49.0,49,1
#GameCube,49.0,49,1
#LoZ,49.0,49,1
#LinksAwakening,49.0,49,1
#LegendOfZelda,49.0,49,1
#MajorasMask,49.0,49,1
#Hyrule,49.0,49,1
#OcarinaOfTime,49.0,49,1
#BotW,49.0,49,1
#TwilightPrincess,49.0,49,1
#SmashBros,49.0,49,1
#Otaku,49.0,49,1
#Japan,49.0,49,1
#Anime,49.0,49,1
#Wii,49.0,49,1
#ToyCollector,49.0,49,1
#Geek,49.0,49,1
#Cosplay,49.0,49,1
#artgame,58.333333333333336,175,3
#graphicart,58.333333333333336,175,3
#graphics,58.333333333333336,175,3
#publicidadcreativa,52.0,52,1
#desingn,52.0,104,2
#diseÃ±ografico,57.5,115,2
#argentinaðŸ‡¦ðŸ‡·,57.5,115,2
#gamedesign,52.25,209,4
#gamedesigner,52.25,209,4
#influencer,52.0,52,1
#advergaming,52.0,52,1
#videojuego,50.6,253,5
#videojuegos,50.6,253,5
#cerveza,50.6,253,5
#birra,50.6,253,5
#beer,50.6,253,5
#conceptart,44.25,177,4
#gameartist,46.0,138,3
#illustrations,44.75,179,4
#graphicdesign,44.75,179,4
#argentina,49.666666666666664,149,3
#publicidadonline,48.0,96,2
#playerunkownbattlegrounds,13.0,13,1
#pubgchickendinner,13.0,13,1
#artstagram,13.0,13,1
#chickendinner,13.0,13,1
#artistic,13.0,13,1
#visualart,13.0,13,1
#lineart,13.0,13,1
#sketch,13.0,13,1
#sketchbook,13.0,13,1
#worldofartists,13.0,13,1
#sketches,13.0,13,1
#artoftheday,13.0,13,1
#dessins,13.0,13,1
#aportrait,13.0,13,1
#sonysketch,13.0,13,1
#artempire,13.0,13,1
#cerveceria,45.5,182,4
#draw,42.142857142857146,295,7
#pixelart,34.666666666666664,104,3
#publicidad,44.0,44,1
#grafico,44.0,44,1
#publicidaddigital,44.0,44,1
#socialmedia,44.0,44,1
#boliches,44.0,44,1
#fernet,44.0,44,1
#alcohol,44.0,44,1
#Pokemon,25.0,50,2
#diseÃ±o,39.0,78,2
#marketingdigital,39.0,78,2
#buenosaires,39.0,78,2
#bar,39.0,78,2
#birreria,34.0,34,1
#juegosonline,34.0,34,1
#videogamer,34.0,34,1
#juegos,34.0,34,1
#boliche,34.0,34,1
#tragos,34.0,34,1
#dessin,8.0,16,2
#myart,39.666666666666664,119,3
#digitalpainting,7.5,15,2
#AsapFlxw,83.0,83,1
#drawing,27.714285714285715,194,7
#fortnitecommunity,60.75,243,4
#fortnitebr,60.75,243,4
#fortnitegame,60.75,243,4
#epicgames,60.75,243,4
#fortnitelovers,60.75,243,4
#fortnitepc,60.75,243,4
